Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
10-Apr-19,EQ,"10,792.50","10,850.00","10,730.00","10,790.05","10,810.10","10,811.95","10,792.24","11,751.00","8,330.10",48089,"51,89,88,018.15",13576
09-Apr-19,EQ,"10,889.00","10,889.00","10,740.00","10,850.60","10,770.00","10,790.05","10,788.34","11,751.00","8,330.10",75730,"81,70,00,888.80",14348
08-Apr-19,EQ,"10,999.00","11,050.00","10,804.50","10,980.75","10,810.00","10,850.60","10,876.67","11,751.00","8,330.10",37049,"40,29,69,889.30",10799
05-Apr-19,EQ,"10,935.05","11,091.00","10,900.00","10,961.85","10,977.00","10,980.75","10,989.60","11,751.00","8,169.95",26013,"28,58,72,549.60",5721
04-Apr-19,EQ,"11,059.00","11,059.00","10,850.00","11,003.75","10,930.00","10,961.85","10,956.48","11,751.00","8,169.95",40177,"44,01,98,516.85",8368
03-Apr-19,EQ,"10,947.00","11,067.00","10,780.00","10,786.80","11,010.00","11,003.75","10,986.38","11,751.00","8,169.95",74692,"82,05,94,429.65",20807
02-Apr-19,EQ,"10,979.70","10,979.70","10,700.00","10,915.15","10,778.00","10,786.80","10,765.33","11,751.00","8,169.95",59609,"64,17,10,487.30",11836
01-Apr-19,EQ,"10,980.00","11,121.00","10,861.10","10,960.95","10,873.70","10,915.15","11,032.37","11,751.00","8,169.95",81431,"89,83,77,027.85",25399
29-Mar-19,EQ,"11,027.15","11,239.00","10,901.00","11,073.10","10,961.00","10,960.95","11,122.90","11,751.00","7,760.00",149501,"1,66,28,85,197.80",31185
28-Mar-19,EQ,"10,938.90","11,130.00","10,801.00","10,892.00","11,055.00","11,073.10","11,008.26","11,751.00","7,760.00",91828,"1,01,08,66,479.05",22877
27-Mar-19,EQ,"10,690.95","11,049.00","10,576.75","10,691.90","10,900.00","10,892.00","10,866.64","11,751.00","7,760.00",139605,"1,51,70,37,199.20",39161
26-Mar-19,EQ,"10,565.20","10,790.25","10,515.95","10,528.30","10,746.40","10,691.90","10,644.06","11,751.00","7,760.00",150685,"1,60,39,00,067.30",39103
25-Mar-19,EQ,"10,515.05","10,549.90","10,303.00","10,600.65","10,499.00","10,528.30","10,455.78","11,751.00","7,760.00",109785,"1,14,78,88,270.60",21039
22-Mar-19,EQ,"10,593.00","10,649.00","10,527.25","10,530.15","10,600.15","10,600.65","10,594.72","11,751.00","7,627.50",85656,"90,75,01,514.85",18327
20-Mar-19,EQ,"10,729.90","10,749.95","10,463.50","10,707.00","10,506.00","10,530.15","10,577.14","11,751.00","7,627.50",59630,"63,07,14,763.20",17149
19-Mar-19,EQ,"10,456.60","10,755.00","10,409.85","10,456.60","10,740.00","10,707.00","10,629.93","11,751.00","7,627.50",82821,"88,03,81,184.50",15958
18-Mar-19,EQ,"10,375.00","10,495.40","10,271.20","10,289.90","10,465.00","10,456.60","10,401.94","11,751.00","7,627.50",61262,"63,72,43,624.50",17259
15-Mar-19,EQ,"10,701.30","10,762.05","10,230.05","10,739.30","10,324.40","10,289.90","10,406.09","11,751.00","7,566.00",183452,"1,90,90,18,091.25",48529
14-Mar-19,EQ,"10,758.00","10,770.00","10,540.00","10,723.30","10,734.00","10,739.30","10,666.93","11,751.00","7,566.00",55804,"59,52,57,098.90",16106
13-Mar-19,EQ,"10,528.00","10,754.95","10,500.40","10,428.90","10,698.00","10,723.30","10,683.54","11,751.00","7,566.00",133760,"1,42,90,30,676.25",29707
12-Mar-19,EQ,"10,298.90","10,511.95","10,260.05","10,292.80","10,460.15","10,428.90","10,433.56","11,751.00","7,566.00",83043,"86,64,34,524.10",20705
11-Mar-19,EQ,"10,099.35","10,329.00","10,031.65","10,095.15","10,200.00","10,292.80","10,193.42","11,751.00","7,566.00",114136,"1,16,34,36,658.20",27915
08-Mar-19,EQ,"10,219.95","10,220.00","10,035.00","10,203.35","10,091.45","10,095.15","10,093.19","11,751.00","7,566.00",98498,"99,41,59,067.05",33292
07-Mar-19,EQ,"10,340.00","10,352.60","10,165.10","10,320.75","10,166.15","10,203.35","10,251.12","11,751.00","7,566.00",78052,"80,01,20,339.90",21169
